TestSetFileName,Success,Managed,Fails,Skipped,Dependencies,Crashes,UnsupportedTypes,UnsupportedErrorCodes,Sum,Processed,Matches
fn/abs.xml,16,15,19,0,0,1,120,12,183,183,OK
fn/adjust-date-to-timezone.xml,4,25,6,0,0,1,0,5,41,41,OK
fn/adjust-dateTime-to-timezone.xml,4,34,0,0,0,3,0,7,48,48,OK
fn/adjust-time-to-timezone.xml,4,31,2,0,0,2,0,3,42,42,OK
fn/analyze-string.xml,0,0,0,0,4,26,1,3,34,34,OK
fn/apply.xml,0,0,2,0,0,12,2,1,17,17,OK
fn/available-environment-variables.xml,2,1,0,0,0,7,1,0,11,11,OK
fn/avg.xml,13,56,0,0,0,9,117,44,239,239,OK
fn/base-uri.xml,1,0,4,0,0,71,6,0,82,82,OK
fn/boolean.xml,16,50,7,0,0,9,48,13,143,143,OK
fn/ceiling.xml,12,15,9,0,0,1,50,0,87,87,OK
fn/codepoint-equal.xml,9,27,0,0,0,0,0,0,36,36,OK
fn/codepoints-to-string.xml,29,17,9,0,0,5,0,19,79,79,OK
fn/collation-key.xml,0,0,1,0,2,25,0,0,28,28,OK
fn/collection.xml,1,0,4,0,12,4,1,11,33,33,OK
fn/compare.xml,10,0,1,0,9,73,1,2,96,96,OK
fn/concat.xml,4,41,5,0,0,0,45,1,96,96,OK
fn/contains.xml,9,27,0,0,7,23,0,1,67,67,OK
fn/contains-token.xml,0,0,0,0,0,37,0,0,37,37,OK
fn/count.xml,20,182,5,0,0,11,98,0,316,316,OK
fn/current-date.xml,4,21,0,0,0,1,0,0,26,26,OK
fn/current-dateTime.xml,4,23,0,0,0,0,0,0,27,27,OK
fn/current-time.xml,4,19,0,0,0,1,0,0,24,24,OK
fn/data.xml,3,0,1,0,9,21,27,4,65,65,OK
fn/dateTime.xml,2,0,1,0,0,45,0,4,52,52,OK
fn/day-from-date.xml,3,24,0,0,0,0,0,0,27,27,OK
fn/day-from-dateTime.xml,3,24,0,0,0,0,0,0,27,27,OK
fn/days-from-duration.xml,3,28,0,0,0,0,0,0,31,31,OK
fn/deep-equal.xml,38,66,4,0,16,68,68,3,263,263,OK
fn/default-collation.xml,2,0,1,0,0,4,0,0,7,7,OK
fn/default-language.xml,0,0,0,0,1,4,1,0,6,6,OK
fn/distinct-values.xml,12,39,2,1,0,3,46,3,106,106,OK
fn/doc.xml,1,0,9,0,0,25,2,8,45,45,OK
fn/doc-available.xml,1,0,1,0,0,9,0,6,17,17,OK
fn/document-uri.xml,2,0,2,0,0,49,0,1,54,54,OK
fn/element-with-id.xml,0,0,0,0,0,5,0,0,5,5,OK
fn/empty.xml,9,17,0,0,0,1,27,0,54,54,OK
fn/encode-for-uri.xml,10,17,1,0,0,1,0,0,29,29,OK
fn/ends-with.xml,8,27,0,0,3,15,0,2,55,55,OK
fn/environment-variable.xml,3,1,3,0,0,4,1,0,12,12,OK
fn/error.xml,0,0,2,0,0,3,52,41,98,98,OK
fn/escape-html-uri.xml,3,0,1,0,0,30,0,0,34,34,OK
fn/exactly-one.xml,5,14,0,0,0,2,27,6,54,54,OK
fn/exists.xml,14,16,0,0,0,1,27,0,58,58,OK
fn/false.xml,0,23,1,0,0,1,0,0,25,25,OK
fn/filter.xml,4,1,15,0,0,10,2,3,35,35,OK
fn/floor.xml,13,7,16,0,0,1,51,0,88,88,OK
fn/fold-left.xml,0,0,5,0,0,18,3,0,26,26,OK
fn/fold-right.xml,0,0,5,0,0,20,0,0,25,25,OK
fn/for-each.xml,0,0,3,0,0,12,2,0,17,17,OK
fn/for-each-pair.xml,6,1,14,0,0,11,1,16,49,49,OK
fn/format-date.xml,2,6,13,0,3,88,0,8,120,120,OK
fn/format-dateTime.xml,2,16,9,0,11,53,0,1,92,92,OK
fn/format-integer.xml,0,0,1,0,14,50,0,12,77,77,OK
fn/format-number.xml,1,0,2,0,4,234,1,27,269,269,OK
fn/format-time.xml,3,3,9,0,0,66,0,10,91,91,OK
fn/function-lookup.xml,4,0,1,0,10,0,659,0,674,674,OK
fn/function-arity.xml,4,1,8,0,0,9,0,1,23,23,OK
fn/function-name.xml,4,1,6,0,0,10,0,3,24,24,OK
fn/generate-id.xml,0,0,5,0,5,14,5,0,29,29,OK
fn/has-children.xml,2,2,7,0,2,12,8,4,37,37,OK
fn/head.xml,2,0,0,0,0,6,0,0,8,8,OK
fn/hours-from-dateTime.xml,3,24,0,0,0,0,0,0,27,27,OK
fn/hours-from-duration.xml,3,28,0,0,0,0,0,0,31,31,OK
fn/hours-from-time.xml,3,24,0,0,0,0,0,0,27,27,OK
fn/id.xml,0,0,7,0,32,13,2,7,61,61,OK
fn/idref.xml,0,0,7,0,40,5,0,2,54,54,OK
fn/implicit-timezone.xml,2,0,0,0,0,21,0,4,27,27,OK
fn/innermost.xml,4,1,6,0,6,12,30,0,59,59,OK
fn/index-of.xml,17,18,3,0,0,5,9,1,53,53,OK
fn/insert-before.xml,17,18,3,0,0,0,4,1,43,43,OK
fn/in-scope-prefixes.xml,2,0,6,0,0,50,4,0,62,62,OK
fn/iri-to-uri.xml,5,0,3,0,0,37,1,1,47,47,OK
fn/json-doc.xml,0,9,8,0,0,30,2,18,67,67,OK
fn/json-to-xml.xml,0,0,9,0,14,39,0,32,94,94,OK
fn/lang.xml,1,0,4,0,0,39,0,2,46,46,OK
fn/last.xml,25,16,0,0,0,24,0,1,66,66,OK
fn/load-xquery-module.xml,0,0,0,0,82,0,0,0,82,82,OK
fn/local-name.xml,1,0,7,0,1,42,7,2,60,60,OK
fn/local-name-from-QName.xml,0,0,2,0,1,0,25,0,28,28,OK
fn/lower-case.xml,4,22,1,0,0,0,0,0,27,27,OK
fn/max.xml,18,57,3,0,0,8,110,12,208,208,OK
fn/matches.xml,3,27,5,0,0,121,0,10,166,166,OK
fn/matches.re.xml,0,109,131,0,0,717,0,53,1010,1010,OK
fn/min.xml,18,52,6,0,0,8,111,12,207,207,OK
fn/minutes-from-dateTime.xml,3,24,0,0,0,0,0,0,27,27,OK
fn/minutes-from-duration.xml,3,29,0,0,0,0,0,0,32,32,OK
fn/minutes-from-time.xml,3,24,0,0,0,0,0,0,27,27,OK
fn/month-from-date.xml,3,24,0,0,0,0,0,0,27,27,OK
fn/months-from-duration.xml,3,28,0,0,0,0,0,0,31,31,OK
fn/month-from-dateTime.xml,3,24,0,0,0,0,0,0,27,27,OK
fn/name.xml,1,0,2,0,1,22,6,2,34,34,OK
fn/namespace-uri.xml,1,0,4,0,0,24,3,1,33,33,OK
fn/namespace-uri-for-prefix.xml,2,0,0,0,0,27,0,0,29,29,OK
fn/namespace-uri-from-QName.xml,0,0,2,0,1,0,27,0,30,30,OK
fn/nilled.xml,2,0,5,0,29,26,2,0,64,64,OK
fn/node-name.xml,2,0,11,0,0,8,23,0,44,44,OK
fn/normalize-space.xml,9,22,2,0,4,1,0,1,39,39,OK
fn/normalize-unicode.xml,20,16,3,0,0,5,0,4,48,48,OK
fn/not.xml,3,31,3,0,0,16,28,2,83,83,OK
fn/number.xml,4,25,4,0,0,3,30,0,66,66,OK
fn/one-or-more.xml,7,14,0,0,0,1,27,7,56,56,OK
fn/outermost.xml,4,1,6,0,6,11,30,0,58,58,OK
fn/parse-ietf-date.xml,0,0,0,0,0,68,0,37,105,105,OK
fn/parse-json.xml,0,0,4,0,0,81,1,68,154,154,OK
fn/parse-xml.xml,2,0,0,0,0,12,0,3,17,17,OK
fn/parse-xml-fragment.xml,2,0,0,0,0,16,1,7,26,26,OK
fn/path.xml,0,0,0,0,3,14,3,0,20,20,OK
fn/position.xml,40,4,0,0,0,22,0,1,67,67,OK
fn/prefix-from-QName.xml,0,0,0,0,0,0,27,0,27,27,OK
fn/QName.xml,0,0,0,0,0,0,34,0,34,34,OK
fn/random-number-generator.xml,0,0,0,0,0,44,0,0,44,44,OK
fn/remove.xml,22,17,5,0,0,0,6,1,51,51,OK
fn/replace.xml,11,22,0,0,0,41,0,15,89,89,OK
fn/resolve-QName.xml,0,0,0,0,0,0,31,0,31,31,OK
fn/resolve-uri.xml,2,0,0,0,0,31,0,5,38,38,OK
fn/reverse.xml,22,15,0,0,0,5,27,1,70,70,OK
fn/root.xml,1,0,4,0,0,27,1,5,38,38,OK
fn/round.xml,6,73,44,0,0,4,134,0,261,261,OK
fn/round-half-to-even.xml,23,21,25,0,0,5,54,0,128,128,OK
fn/seconds-from-dateTime.xml,3,24,0,0,0,0,0,0,27,27,OK
fn/seconds-from-duration.xml,3,29,0,0,0,0,0,0,32,32,OK
fn/seconds-from-time.xml,3,24,0,0,0,0,0,0,27,27,OK
fn/serialize.xml,0,0,16,0,6,86,24,34,166,166,OK
fn/sort.xml,0,0,3,0,0,40,4,0,47,47,OK
fn/starts-with.xml,9,27,0,0,4,15,0,1,56,56,OK
fn/static-base-uri.xml,2,0,1,0,0,15,0,0,18,18,OK
fn/string.xml,4,15,4,0,2,6,31,9,71,71,OK
fn/string-join.xml,5,31,1,0,0,8,1,0,46,46,OK
fn/string-length.xml,5,22,4,0,2,1,0,2,36,36,OK
fn/string-to-codepoints.xml,24,19,1,0,0,0,0,0,44,44,OK
fn/subsequence.xml,50,31,17,0,0,2,4,1,105,105,OK
fn/substring.xml,16,22,7,0,0,3,0,0,48,48,OK
fn/substring-after.xml,10,21,0,0,5,18,0,1,55,55,OK
fn/substring-before.xml,9,21,0,0,4,18,0,2,54,54,OK
fn/sum.xml,13,58,2,0,0,10,131,8,222,222,OK
fn/tail.xml,4,0,0,0,0,2,0,0,6,6,OK
fn/timezone-from-date.xml,3,24,0,0,0,7,0,0,34,34,OK
fn/timezone-from-dateTime.xml,3,21,0,0,0,3,0,0,27,27,OK
fn/timezone-from-time.xml,3,20,0,0,0,4,0,0,27,27,OK
fn/tokenize.xml,12,14,7,0,0,29,0,5,67,67,OK
fn/trace.xml,4,12,2,0,0,10,1,1,30,30,OK
fn/transform.xml,0,0,0,0,115,0,0,0,115,115,OK
fn/translate.xml,19,19,5,0,0,0,1,0,44,44,OK
fn/true.xml,0,23,1,0,0,1,0,0,25,25,OK
fn/unordered.xml,0,0,2,0,0,35,4,2,43,43,OK
fn/unparsed-text.xml,3,2,6,0,1,16,1,26,55,55,OK
fn/unparsed-text-available.xml,4,2,6,0,0,42,0,0,54,54,OK
fn/unparsed-text-lines.xml,4,2,6,0,0,13,0,30,55,55,OK
fn/upper-case.xml,4,24,1,0,0,0,0,0,29,29,OK
fn/uri-collection.xml,1,0,3,0,0,1,0,2,7,7,OK
fn/xml-to-json.xml,0,0,2,0,4,97,1,37,141,141,OK
fn/year-from-date.xml,3,24,0,0,0,0,0,0,27,27,OK
fn/years-from-duration.xml,3,28,0,0,0,0,0,0,31,31,OK
fn/year-from-dateTime.xml,3,24,0,0,0,0,0,0,27,27,OK
fn/zero-or-one.xml,5,15,0,0,0,1,27,3,51,51,OK
math/math-acos.xml,0,9,0,0,0,0,0,0,9,9,OK
math/math-asin.xml,0,9,0,0,0,0,0,0,9,9,OK
math/math-atan.xml,0,9,0,0,0,0,0,0,9,9,OK
math/math-atan2.xml,0,10,0,0,0,0,0,0,10,10,OK
math/math-cos.xml,0,9,0,0,0,0,0,0,9,9,OK
math/math-exp.xml,0,9,0,0,0,0,0,0,9,9,OK
math/math-exp10.xml,0,8,0,0,0,0,0,0,8,8,OK
math/math-log.xml,0,9,0,0,0,0,0,0,9,9,OK
math/math-log10.xml,0,9,0,0,0,0,0,0,9,9,OK
math/math-pi.xml,0,3,0,0,0,1,1,0,5,5,OK
math/math-pow.xml,0,29,5,0,0,0,0,0,34,34,OK
math/math-sin.xml,0,9,0,0,0,0,0,0,9,9,OK
math/math-sqrt.xml,0,8,1,0,0,0,0,0,9,9,OK
math/math-tan.xml,0,11,0,0,0,0,0,0,11,11,OK
map/merge.xml,1,1,1,0,0,26,1,1,31,31,OK
map/contains.xml,3,0,3,0,0,15,5,0,26,26,OK
map/find.xml,0,0,0,0,0,12,0,0,12,12,OK
map/get.xml,0,0,6,0,0,18,8,0,32,32,OK
map/entry.xml,0,0,0,0,0,7,2,0,9,9,OK
map/size.xml,0,0,0,0,0,13,0,1,14,14,OK
map/keys.xml,0,3,0,0,0,10,0,1,14,14,OK
map/put.xml,0,0,0,0,0,15,4,0,19,19,OK
map/remove.xml,0,0,1,0,0,14,3,0,18,18,OK
map/for-each.xml,0,0,0,0,0,16,0,1,17,17,OK
array/append.xml,0,0,0,0,0,8,0,0,8,8,OK
array/filter.xml,0,0,4,0,0,8,0,0,12,12,OK
array/flatten.xml,0,5,0,0,0,5,0,0,10,10,OK
array/fold-left.xml,0,0,0,0,0,9,0,0,9,9,OK
array/fold-right.xml,0,0,0,0,0,10,0,0,10,10,OK
array/for-each.xml,0,0,2,0,0,7,0,0,9,9,OK
array/for-each-pair.xml,0,0,2,0,0,7,0,0,9,9,OK
array/get.xml,0,0,4,0,0,2,0,4,10,10,OK
array/head.xml,0,0,5,0,0,3,0,1,9,9,OK
array/insert-before.xml,0,0,5,0,0,5,0,1,11,11,OK
array/join.xml,0,0,0,0,0,11,0,0,11,11,OK
array/put.xml,0,0,0,0,0,8,0,5,13,13,OK
array/remove.xml,0,0,11,0,0,3,0,2,16,16,OK
array/reverse.xml,0,1,3,0,0,0,0,0,4,4,OK
array/size.xml,0,6,1,0,0,0,0,0,7,7,OK
array/sort.xml,0,0,2,0,1,30,3,1,37,37,OK
array/subarray.xml,0,0,0,0,0,11,0,7,18,18,OK
array/tail.xml,0,0,5,0,0,1,0,0,6,6,OK
xs/anyURI.xml,0,9,0,0,0,8,0,0,17,17,OK
xs/base64Binary.xml,0,3,0,0,0,28,0,8,39,39,OK
xs/dateTimeStamp.xml,0,1,0,0,0,3,0,2,6,6,OK
xs/double.xml,0,4,1,0,0,0,0,0,5,5,OK
xs/error.xml,0,0,0,0,0,0,51,3,54,54,OK
xs/float.xml,0,0,0,0,0,0,6,0,6,6,OK
xs/hexBinary.xml,0,1,0,0,0,0,0,0,1,1,OK
xs/normalizedString.xml,0,0,0,0,0,0,7,0,7,7,OK
xs/numeric.xml,0,0,0,0,2,0,20,0,22,22,OK
xs/token.xml,0,0,0,0,0,0,7,0,7,7,OK
op/add-dayTimeDurations.xml,18,39,2,0,0,2,0,0,61,61,OK
op/add-dayTimeDuration-to-date.xml,0,21,3,0,2,0,0,1,27,27,OK
op/add-dayTimeDuration-to-dateTime.xml,4,22,0,0,0,0,0,1,27,27,OK
op/add-dayTimeDuration-to-time.xml,1,22,3,0,0,0,0,0,26,26,OK
op/add-yearMonthDurations.xml,0,25,0,0,0,2,0,0,27,27,OK
op/add-yearMonthDuration-to-date.xml,2,23,1,0,0,0,0,1,27,27,OK
op/add-yearMonthDuration-to-dateTime.xml,4,24,0,0,0,0,0,1,29,29,OK
op/anyURI-equal.xml,0,12,0,0,0,6,4,0,22,22,OK
op/anyURI-greater-than.xml,0,8,0,0,0,2,0,0,10,10,OK
op/anyURI-less-than.xml,0,6,0,0,0,2,0,0,8,8,OK
op/bang.xml,0,0,0,0,0,14,0,0,14,14,OK
op/base64Binary-equal.xml,0,27,0,0,0,3,0,0,30,30,OK
op/base64Binary-less-than.xml,2,0,0,0,0,29,1,0,32,32,OK
op/base64Binary-greater-than.xml,2,0,0,0,0,29,1,0,32,32,OK
op/boolean-equal.xml,2,32,20,0,0,2,1,0,57,57,OK
